75, 32, 8, 80, 17, 55
object_road_6.txt object_car_6.txt object_car_2.txt object_car_3.txt object_car_1.txt object_road_1.txt object_road_2.txt object_road_3.txt
Surface
0, 3, 2, 1
0, 4, 6, 1
1, 3, 2, 1
1, 4, 6, 1
2, 3, 2, 1
2, 4, 6, 1
3, 20, 10, 4
3, 10, 3, 1
3, 23, 10, 4
3, 13, 3, 1
4, 3, 10, 4
4, 21, 10, 4
4, 11, 3, 1
4, 4, 10, 4
4, 2, 3, 1
5, 3, 10, 4
5, 6, 3, 1
5, 2, 3, 1
5, 4, 10, 4
5, 5, 10, 4
6, 2, 3, 1
6, 26, 5, 1
6, 16, 1, 1
6, 3, 10, 4
6, 4, 10, 4
6, 36, 10, 4
7, 3, 10, 4
7, 2, 3, 1
7, 5, 1, 1
7, 6, 5, 1
7, 4, 10, 4
8, 3, 10, 4
8, 2, 3, 1
8, 5, 1, 1
8, 6, 5, 1
8, 4, 10, 4
9, 3, 10, 4
9, 5, 1, 1
9, 6, 5, 1
9, 2, 3, 1
9, 4, 10, 4
10, 3, 10, 4
10, 5, 1, 1
10, 6, 5, 1
10, 2, 3, 1
10, 4, 10, 4
11, 3, 10, 4
11, 5, 1, 1
11, 6, 5, 1
11, 2, 3, 1
11, 4, 10, 4
12, 4, 10, 4
12, 5, 1, 1
12, 6, 5, 1
12, 8, 3, 1
12, 28, 10, 4
13, 29, 10, 4
13, 5, 1, 1
13, 6, 5, 1
13, 9, 3, 1
14, 4, 2, 1
14, 5, 4, 1
14, 6, 5, 1
15, 4, 2, 1
15, 5, 4, 1
15, 6, 5, 1
16, 6, 5, 1
16, 5, 4, 1
16, 4, 2, 1
17, 4, 2, 1
17, 5, 4, 1
17, 6, 5, 1
18, 26, 9, 2
18, 16, 5, 1
18, 15, 4, 1
18, 14, 2, 1
19, 14, 4, 1
19, 13, 2, 1
19, 25, 9, 2
19, 15, 5, 1
19, 6, 9, 2
20, 8, 2, 1
20, 9, 4, 1
20, 10, 5, 1
20, 6, 9, 2
20, 30, 9, 2
21, 19, 1, 1
21, 9, 5, 1
21, 10, 1, 1
21, 11, 5, 1
21, 31, 9, 2
22, 3, 1, 1
22, 4, 5, 1
22, 5, 1, 1
22, 6, 5, 1
23, 3, 1, 1
23, 4, 5, 1
23, 5, 1, 1
23, 6, 5, 1
24, 3, 1, 1
24, 4, 5, 1
24, 6, 5, 1
24, 5, 1, 1
25, 3, 1, 1
25, 4, 5, 1
25, 5, 1, 1
25, 6, 5, 1
26, 3, 1, 1
26, 4, 5, 1
26, 5, 1, 1
26, 6, 5, 1
27, 3, 1, 1
27, 4, 5, 1
27, 5, 1, 1
27, 6, 5, 1
28, 3, 1, 1
28, 4, 5, 1
28, 5, 1, 1
28, 6, 5, 1
29, 3, 1, 1
29, 5, 1, 1
29, 6, 5, 1
29, 4, 5, 1
30, 3, 1, 1
30, 4, 5, 1
30, 5, 1, 1
30, 6, 5, 1
31, 3, 1, 1
31, 4, 5, 1
31, 5, 1, 1
31, 6, 5, 1
32, 3, 1, 1
32, 4, 5, 1
32, 5, 1, 1
32, 6, 5, 1
33, 19, 10, 4
33, 9, 1, 1
33, 6, 5, 1
33, 29, 5, 1
33, 5, 1, 1
34, 26, 9, 2
34, 16, 5, 1
34, 36, 4, 1
34, 3, 10, 4
34, 4, 2, 1
35, 25, 9, 2
35, 15, 6, 1
35, 6, 9, 2
35, 34, 10, 4
35, 14, 2, 1
36, 19, 10, 4
36, 9, 2, 1
36, 6, 9, 2
36, 10, 6, 1
36, 30, 9, 2
37, 20, 10, 4
37, 10, 2, 1
37, 11, 6, 1
37, 3, 10, 4
37, 31, 9, 2
38, 5, 2, 1
38, 6, 6, 1
38, 3, 10, 4
38, 4, 10, 4
39, 35, 10, 4
39, 15, 2, 1
39, 26, 9, 2
39, 16, 6, 1
39, 3, 10, 4
40, 34, 10, 4
40, 14, 2, 1
40, 25, 5, 1
40, 15, 4, 1
40, 6, 9, 2
41, 6, 9, 2
41, 3, 2, 1
41, 4, 4, 1
41, 5, 5, 1
42, 6, 9, 2
42, 3, 2, 1
42, 4, 4, 1
42, 5, 5, 1
43, 31, 9, 2
43, 19, 10, 4
43, 9, 2, 1
43, 11, 5, 1
43, 10, 4, 1
44, 3, 10, 4
44, 4, 2, 1
44, 5, 4, 1
44, 6, 5, 1
45, 3, 10, 4
45, 4, 2, 1
45, 5, 4, 1
45, 6, 5, 1
46, 3, 10, 4
46, 4, 2, 1
46, 5, 4, 1
46, 6, 5, 1
47, 5, 1, 1
47, 24, 5, 1
47, 14, 1, 1
47, 6, 5, 1
47, 34, 10, 4
48, 3, 1, 1
48, 4, 5, 1
48, 5, 1, 1
48, 6, 5, 1
49, 16, 5, 1
49, 3, 1, 1
49, 4, 5, 1
49, 36, 1, 1
50, 3, 1, 1
50, 4, 7, 1
50, 5, 6, 1
51, 13, 1, 1
51, 14, 7, 1
51, 15, 6, 1
52, 12, 1, 1
52, 13, 7, 1
52, 14, 6, 1
53, 1, 1, 1
53, 2, 7, 1
53, 3, 6, 1
54, 1, 1, 1
54, 2, 7, 1
54, 3, 6, 1
55, 1, 1, 1
55, 2, 7, 1
55, 3, 6, 1
56, 1, 1, 1
56, 2, 7, 1
56, 3, 6, 1
57, 7, 1, 1
57, 27, 7, 1
57, 3, 6, 1
58, 2, 2, 1
58, 3, 6, 1
59, 9, 6, 1
59, 8, 2, 1
60, 19, 9, 2
60, 9, 2, 1
60, 10, 6, 1
61, 4, 2, 1
61, 5, 6, 1
61, 3, 9, 2
62, 14, 2, 1
62, 25, 9, 2
62, 15, 6, 1
62, 34, 9, 2
63, 5, 9, 2
63, 3, 2, 1
63, 4, 6, 1
64, 30, 9, 2
64, 23, 10, 4
64, 13, 3, 1
64, 20, 10, 4
64, 10, 3, 1
65, 3, 10, 4
65, 2, 3, 1
65, 5, 3, 1
65, 4, 10, 4
66, 3, 10, 4
66, 2, 3, 1
66, 5, 3, 1
66, 4, 10, 4
67, 22, 5, 1
67, 12, 1, 1
67, 21, 1, 1
67, 11, 5, 1
67, 3, 10, 4
67, 4, 10, 4
68, 1, 1, 1
68, 2, 5, 1
68, 5, 1, 1
68, 6, 5, 1
68, 3, 10, 4
68, 4, 10, 4
69, 1, 1, 1
69, 2, 5, 1
69, 5, 1, 1
69, 6, 5, 1
69, 4, 10, 4
69, 3, 10, 4
70, 1, 1, 1
70, 16, 5, 1
70, 15, 1, 1
70, 2, 5, 1
70, 3, 10, 4
70, 35, 10, 4
71, 1, 1, 1
71, 15, 5, 1
71, 14, 1, 1
71, 2, 5, 1
71, 34, 10, 4
72, 1, 1, 1
72, 2, 5, 1
72, 3, 1, 1
72, 4, 5, 1
73, 7, 1, 1
73, 14, 5, 1
73, 27, 5, 1
73, 34, 1, 1
74, 2, 2, 1
74, 3, 6, 1
Object
1, 1, 65, 59, 0
0, 1, 0, 112, 0
2, 1, 49, 165, 180
3, 1, 75, 382, 0
2, 1, 85, 463, 0
1, 1, 75, 544, 0
1, 1, 64, 692, 180
4, 1, 85, 747, 0
2, 1, 71, 848, 0
3, 1, 66, 927, 0
3, 1, 60, 999, 180
2, 1, 63, 1110, 180
3, 1, 74, 1139, 0
1, 1, 75, 1256, 0
4, 1, 59, 1314, 180
5, 2, 85, 1346, 0
4, 1, 75, 1424, 0
6, 3, 71, 1646, 0
6, 3, 74, 1736, 0
3, 1, 73, 1839, 0
4, 1, 67, 2055, 180
2, 1, 73, 2179, 0
3, 1, 62, 2300, 180
3, 1, 53, 2447, 0
5, 2, 33, 2478, 0
5, 2, 45, 2520, 0
2, 1, 45, 2647, 180
1, 1, 65, 2763, 180
7, 1, 69, 2899, 0
2, 1, 44, 3137, 180
3, 1, 59, 3242, 0
4, 1, 35, 3245, 180
Coin
55, 40
55, 80
65, 120
70, 160
80, 200
85, 240
85, 280
75, 320
85, 360
85, 400
75, 440
75, 480
85, 520
85, 560
75, 600
85, 640
75, 680
75, 720
65, 760
75, 800
60, 840
50, 880
55, 920
65, 960
75, 1000
65, 1040
75, 1080
85, 1120
85, 1160
75, 1200
85, 1240
85, 1280
75, 1320
75, 1360
85, 1400
85, 1440
70, 1480
85, 1520
75, 1560
65, 1600
60, 1640
75, 1680
85, 1720
85, 1760
65, 1800
55, 1840
65, 1880
75, 1920
65, 1960
75, 2000
85, 2040
85, 2080
75, 2120
85, 2160
85, 2200
75, 2240
55, 2280
55, 2320
55, 2360
40, 2400
35, 2440
45, 2480
35, 2520
45, 2560
45, 2600
55, 2640
55, 2680
70, 2720
75, 2760
65, 2800
55, 2840
55, 2880
45, 2920
45, 3040
45, 3080
35, 3120
35, 3160
40, 3200
45, 3260
55, 3350
Bonus
4, 45, 240
1, 85, 320
4, 85, 600
4, 75, 640
2, 85, 710
0, 65, 880
3, 85, 1040
4, 85, 1200
1, 60, 1200
2, 85, 1480
4, 55, 1910
0, 65, 2030
3, 60, 2180
4, 55, 2520
4, 65, 2880
2, 45, 2990
0, 85, 3100
End
